number	Name sk	Short name sk	code	email	replied	original code	
8	7 Statočných regionálna strana Slovenska	7 statočných	854501	7statocnych@7statocnych.sk	1		
14	Az együttműködés pártja - strana spolupráce	MOST-HÍD	670014	OFFICE@MOST-HID.SK,PRESS@MOST-HID.SK	1		
7	Demokratická občianska strana	DOST	521349	info@strana-dost.sk			
12	Európska demokratická strana	EDS	871785	eds@eds-sk.sk,hajnos@eds-sk.sk	1		
23	Komunistická strana Slovenska	KSS	351817	sekr@kss.sk			
2	Kresťanskodemo­kratické hnutie	KDH	527221	sekretariat@kdh.sk,martin.dilong@kdh.sk,tlacove@kdh.sk,international@kdh.sk,anna.zaborska@europarl.europa.eu,miroslav.mikolasik@europarl.europa.eu			
15	Kresťanská slovenská národná strana	KSNS	187478				
6	Magnificat Slovakia	MS	274339	magnificat@stonline.sk,m_orol@stonline.sk			
9	Maďarská kresťanskodemo­kratická aliancia - Magyar Kereszténydemokrata Szövetség	MKDA-MKDSZ	412630	mkdsz.mkda@gmail.com			
1	NOVA, Konzervatívni demokrati Slovenska, Občianska konzervatívna strana	NOVA	718472	kds@kdsonline.sk,hovorca@kdsonline.sk,nova@nova.sk,tlacove@nova.sk,oks@oks.sk	1		
13	Nový parlament	NP	546898	klub@novyparlament.sk			
5	Národ a Spravodlivosť – naša strana	NAS	861087	m.martovic@gmail.com			
19	Obyčajní ľudia a nezávislé osobnosti	OĽaNO	309690	press@obycajniludia.sk,igor.matovic@nrsr.sk,jozef_viskupic@nrsr.sk	1		
28	Priama demokracia	PD	238508	office@priama-demokracia.sk			
20	Právo a spravodlivosť	PaS	587268	pravoaspravodlivost@gmail.com	1		
21	Sloboda a Solidarita	SaS	Sloboda a Solidarita	richard@sulik.sk,jana.kissova@strana-sas.sk,lubomir.galko@gmail.com,jozefmihal@gmail.com,sekretariat@strana-sas.sk,tlacove@strana-sas.sk	1	952674	
27	Slovenská demokratická a kresťanská únia - Demokratická strana	SDKÚ-DS	SDKÚ-DS	sdku@sdkuonline.sk,predseda@sdkuonline.sk	1	170526	SDKÚ-DS
26	Slovenská národná strana	SNS	965641	sekretariat1@sns.sk,tlacove@sns.sk,danko@sns.sk,tajomnik@sns.sk			
4	Slovenská ľudová strana	SĽS	965058	info@hsls.sk			
3	Smer - sociálna demokracia	SMER-SD	550466	sekretariat.fico@strana-smer.sk,generalny.manager@strana-smer.sk,tlacove@strana-smer.sk,pocatkova@strana-smer.sk	1		
16	Strana demokratického Slovenska	SDS	161589	sergej.kozlik@europarl.europa.eu	1		
29	Strana maďarskej komunity - Magyar Közösség Pártja	SMK-MKP	551073	smk@smk.sk,sekretariat@smk.sk,press@smk.sk	1		
22	Strana moderného Slovenska	SMS	333818	info@stranasms.sk			
25	Strana občianskej ľavice	SOL	905353	sol@stranasol.sk,vladislavborik@gmail.com			
10	Strana TIP	TIP	149603	info@strana-tip.sk,marek.chrastina@strana-tip.sk			
17	Strana zelených	SZ	652400	hankokai@gmail.com,lubik88@gmail.com			
18	Vzdor - strana práce	Vzdor	520303	vzdor-hp@vzdor.org	1		
24	Úsvit	Úsvit	944772	ivan_hopta@nrsr.sk,ivan.hopta@nrsr.sk			
11	Ľudová strana Naše Slovensko	ĽSNS	110072	kotleba@naseslovensko.net,krajBA@naseslovensko.net			
