number	Name	Short name	code	email
1	Stranka demokratske akcije	SDA	268258	sda@bih.net.ba
2	Socijaldemokratska partija	SDP	531700	desk@sdp.ba, predsjednik@sdp.ba
3	Stranka nezavisnih socijaldemokrata	SNSD	403986	snsd@snsd.org
4	Srpska demokratska stranka	SDS	351305	sds@teol.net info@sdsrs.org
5	Hrvatska demokratska zajednica	HDZ	804029	hdzbih@hdzbih.org
6	Hrvatska demokratska zajednica 1990	HDZ1990	858673	hdz1990@tel.net.ba
7	Savez za bolju budućnost	SBB	299820	info@sbb.ba, pr@sbb.ba
8	Demokratska fronta	DF	928139	press@demokratskafronta.ba, info@demokratskafronta.ba
9	Narodna stranka radom za boljitak	NSRzB	384648	zaboljitak@zaboljitak.ba dzenana.begic@zaboljitak.ba
10	Demokratski narodni savez	DNS	865568	info@dnsrs.org
11	Partija demokratskog progresa	PDP	623962	pdp@blic.net partijademokratskogprogresa@hotmail.com
12	Demokratska narodna zajednica	DNZ	876585	dnzbih@gmail.com
13	Stranka za BiH	SBiH	221512	zabih@zabih.ba
14	Bosanska stranka – Mirnes Ajanović	BOSS	199583	press@boss.ba predsjednik@boss.ba
15	Posavska stranka	PS	787035	ps@posavskastranka.org, ninoslav.susilovic@tel.net.ba
16	Socijalistička partija Republike Srpske	SP RS	265235	info@socijalisti.ba  sl.inf.sp@gmail.com
17	Naša stranka	NS	945787	nasastranka@nasastranka.ba, pr@nasastranka.ba
18	Građanski savez	GS	945788	
19	Ujedinjena Srpska	US	945789	
20	Narodni demokratski pokret	NDP	945790	
